Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sri Lanka,LKA,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.38048158
Sri Lanka,LKA,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.53532132
Sri Lanka,LKA,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.84962526
Sri Lanka,LKA,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.22053899
Sri Lanka,LKA,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.47568171
Sri Lanka,LKA,2022,Arable land (% of land area),AG.LND.ARBL.ZS,22.17911413
Sri Lanka,LKA,2021,Arable land (% of land area),AG.LND.ARBL.ZS,22.17911413
Sri Lanka,LKA,2020,Arable land (% of land area),AG.LND.ARBL.ZS,22.17911413
Sri Lanka,LKA,2019,Arable land (% of land area),AG.LND.ARBL.ZS,22.17060617
Sri Lanka,LKA,2018,Arable land (% of land area),AG.LND.ARBL.ZS,22.17121428
Sri Lanka,LKA,2017,Arable land (% of land area),AG.LND.ARBL.ZS,21.33036046
Sri Lanka,LKA,2016,Arable land (% of land area),AG.LND.ARBL.ZS,21.16555992
Sri Lanka,LKA,2015,Arable land (% of land area),AG.LND.ARBL.ZS,21.00399076
Sri Lanka,LKA,2014,Arable land (% of land area),AG.LND.ARBL.ZS,20.73034604
Sri Lanka,LKA,2013,Arable land (% of land area),AG.LND.ARBL.ZS,20.73034604
Sri Lanka,LKA,2012,Arable land (% of land area),AG.LND.ARBL.ZS,20.73034604
Sri Lanka,LKA,2011,Arable land (% of land area),AG.LND.ARBL.ZS,20.73034604
Sri Lanka,LKA,2010,Arable land (% of land area),AG.LND.ARBL.ZS,19.13570403
Sri Lanka,LKA,2009,Arable land (% of land area),AG.LND.ARBL.ZS,19.13570403
Sri Lanka,LKA,2008,Arable land (% of land area),AG.LND.ARBL.ZS,19.13570403
Sri Lanka,LKA,2007,Arable land (% of land area),AG.LND.ARBL.ZS,15.94642003
Sri Lanka,LKA,2006,Arable land (% of land area),AG.LND.ARBL.ZS,16.74374103
Sri Lanka,LKA,2005,Arable land (% of land area),AG.LND.ARBL.ZS,17.54106203
Sri Lanka,LKA,2004,Arable land (% of land area),AG.LND.ARBL.ZS,14.35177803
Sri Lanka,LKA,2003,Arable land (% of land area),AG.LND.ARBL.ZS,15.14909903
Sri Lanka,LKA,2002,Arable land (% of land area),AG.LND.ARBL.ZS,14.92584915
Sri Lanka,LKA,2001,Arable land (% of land area),AG.LND.ARBL.ZS,14.60692075
Sri Lanka,LKA,2000,Arable land (% of land area),AG.LND.ARBL.ZS,14.59097433
Sri Lanka,LKA,1999,Arable land (% of land area),AG.LND.ARBL.ZS,14.43151013
Sri Lanka,LKA,1998,Arable land (% of land area),AG.LND.ARBL.ZS,14.17636741
Sri Lanka,LKA,1997,Arable land (% of land area),AG.LND.ARBL.ZS,14.16042099
Sri Lanka,LKA,1996,Arable land (% of land area),AG.LND.ARBL.ZS,14.14447457
Sri Lanka,LKA,1995,Arable land (% of land area),AG.LND.ARBL.ZS,14.12852815
Sri Lanka,LKA,1994,Arable land (% of land area),AG.LND.ARBL.ZS,14.08068889
Sri Lanka,LKA,1993,Arable land (% of land area),AG.LND.ARBL.ZS,14.03284963
Sri Lanka,LKA,1992,Arable land (% of land area),AG.LND.ARBL.ZS,14.43151013
Sri Lanka,LKA,1991,Arable land (% of land area),AG.LND.ARBL.ZS,14.39961729
Sri Lanka,LKA,1990,Arable land (% of land area),AG.LND.ARBL.ZS,14.35177803
Sri Lanka,LKA,1989,Arable land (% of land area),AG.LND.ARBL.ZS,14.36772445
Sri Lanka,LKA,1988,Arable land (% of land area),AG.LND.ARBL.ZS,14.31988519
Sri Lanka,LKA,1987,Arable land (% of land area),AG.LND.ARBL.ZS,14.27204593
Sri Lanka,LKA,1986,Arable land (% of land area),AG.LND.ARBL.ZS,14.14447457
Sri Lanka,LKA,1985,Arable land (% of land area),AG.LND.ARBL.ZS,13.96906395
Sri Lanka,LKA,1984,Arable land (% of land area),AG.LND.ARBL.ZS,13.90527827
Sri Lanka,LKA,1983,Arable land (% of land area),AG.LND.ARBL.ZS,13.857439
Sri Lanka,LKA,1982,Arable land (% of land area),AG.LND.ARBL.ZS,13.66608196
